state,region
Alabama,SOUTHEAST
Alaska,WEST
Arizona,WEST
Arkansas,SOUTH
California,WEST
Colorado,WEST
Connecticut,NORTHEAST
Delaware,NORTHEAST
Florida,SOUTHEAST
Georgia,SOUTHEAST
Hawaii,WEST
Idaho,WEST
Illinois,MIDWEST
Indiana,MIDWEST
Iowa,MIDWEST
Kansas,PLAINS
Kentucky,SOUTH
Louisiana,SOUTH
Maine,NORTHEAST
Maryland,NORTHEAST
Massachusetts,NORTHEAST
Michigan,MIDWEST
Minnesota,MIDWEST
Mississippi,SOUTHEAST
Missouri,MIDWEST
Montana,WEST
Nebraska,PLAINS
Nevada,WEST
New Hampshire,NORTHEAST
New Jersey,NORTHEAST
New Mexico,WEST
New York,NORTHEAST
North Carolina,SOUTHEAST
North Dakota,PLAINS
Ohio,MIDWEST
Oklahoma,PLAINS
Oregon,WEST
Pennsylvania,NORTHEAST
Rhode Island,NORTHEAST
South Carolina,SOUTHEAST
South Dakota,PLAINS
Tennessee,SOUTH
Texas,SOUTH
Utah,WEST
Vermont,NORTHEAST
Virginia,SOUTHEAST
Washington,WEST
West Virginia,SOUTH
Wisconsin,MIDWEST
Wyoming,WEST
